time_s,time_h,C_max,C_center,C_surface,R_m
101580.00000000,28.216666666667,0.254052402637,0.254052402637,0.0630359151396,0.01202
101640.00000000,28.233333333333,0.253888617478,0.253888617478,0.0630131459846,0.01202
101700.00000000,28.250000000000,0.253725119621,0.253725119621,0.0629904457807,0.01202
101760.00000000,28.266666666667,0.25356190835,0.25356190835,0.0629678139692,0.01202
101820.00000000,28.283333333333,0.253398982948,0.253398982948,0.0629452500068,0.01202
101880.00000000,28.300000000000,0.253236342705,0.253236342705,0.0629227533652,0.01202
101940.00000000,28.316666666667,0.253073986908,0.253073986908,0.0629003235305,0.01202
102000.00000000,28.333333333333,0.25291191485,0.25291191485,0.0628779600019,0.01202
102060.00000000,28.350000000000,0.252750125825,0.252750125825,0.0628556622917,0.01202
102120.00000000,28.366666666667,0.252588619126,0.252588619126,0.0628334299246,0.01202
102180.00000000,28.383333333333,0.252427394053,0.252427394053,0.0628112624366,0.01202
102240.00000000,28.400000000000,0.252266449904,0.252266449904,0.0627891593754,0.01202
102300.00000000,28.416666666667,0.252105785981,0.252105785981,0.0627671202989,0.01202
102360.00000000,28.433333333333,0.251945401588,0.251945401588,0.0627451447754,0.01202
102420.00000000,28.450000000000,0.251785296031,0.251785296031,0.062723232383,0.01202
102480.00000000,28.466666666667,0.251625468616,0.251625468616,0.0627013827092,0.01202
102540.00000000,28.483333333333,0.251465918653,0.251465918653,0.0626795953502,0.01202
102600.00000000,28.500000000000,0.251306645454,0.251306645454,0.062657869911,0.01202
102660.00000000,28.516666666667,0.251147648332,0.251147648332,0.0626362060048,0.01202
102720.00000000,28.533333333333,0.250988926603,0.250988926603,0.0626146032525,0.01202
102780.00000000,28.550000000000,0.250830479584,0.250830479584,0.0625930612828,0.01202
102840.00000000,28.566666666667,0.250672306595,0.250672306595,0.0625715797316,0.01202
102900.00000000,28.583333333333,0.250514406956,0.250514406956,0.0625501582417,0.01202
102960.00000000,28.600000000000,0.250356779992,0.250356779992,0.0625287964626,0.01202
103020.00000000,28.616666666667,0.250199425028,0.250199425028,0.0625074940505,0.01202
103080.00000000,28.633333333333,0.25004234139,0.25004234139,0.0624862506676,0.01202
103140.00000000,28.650000000000,0.249885528409,0.249885528409,0.0624650659821,0.01202
103200.00000000,28.666666666667,0.249728985415,0.249728985415,0.0624439396681,0.01202
103260.00000000,28.683333333333,0.249572711741,0.249572711741,0.0624228714051,0.01202
103320.00000000,28.700000000000,0.249416706723,0.249416706723,0.062401860878,0.01202
103380.00000000,28.716666666667,0.249260969698,0.249260969698,0.0623809077771,0.01202
